track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4lsHZ92XCFOQfzJFBTluk8,Vedo,For You,You Got It,69,203144,True,0.762,0.433,5,-8.937,1,0.187,0.143,0.0,0.118,0.394,122.074,4,R&B/Soul
6gQrm0rwg6hok8IxzysD8m,Amaarae,Fountain Baby,Reckless & Sweet,60,159680,False,0.809,0.549,5,-8.291,0,0.0508,0.416,0.146,0.0744,0.405,97.993,4,R&B/Soul
2dR5WkrpwylTuT3jRWNufa,"Frank Sinatra, Count Basie",Ultimate Sinatra,Fly Me To The Moon,61,147146,False,0.67,0.365,0,-10.158,1,0.0566,0.525,0.0,0.0575,0.45,119.347,4,Jazz
78MI7mu1LV1k4IA2HzKmHe,"Ella Fitzgerald, Louis Armstrong","Love, Ella",Dream A Little Dream Of Me - Single Version,64,185160,False,0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.474,4,Jazz
29U7stRjqHU6rMiS8BfaI9,Louis Armstrong,What A Wonderful World,What A Wonderful World,76,139226,False,0.271,0.165,5,-20.652,1,0.0351,0.726,1.54e-06,0.118,0.202,77.082,4,Jazz
4Vkk3iD1VrENHJEACNddvt,Art Blakey & The Jazz Messengers,Moanin' (Expanded Edition),Moanin',56,570720,False,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,4,Jazz
0F845nujLVqCb0XMZCh5Pc,Chet Baker,Chet Baker Sings,I Fall In Love Too Easily,66,201440,False,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,4,Jazz
5Lhjlnly9Ynhf52ojQS534,Nina Simone,Little Girl Blue (2013 - Remaster),My Baby Just Cares for Me (2013 - Remaster),67,215746,False,0.747,0.243,4,-15.134,0,0.124,0.829,1.02e-06,0.0905,0.426,118.661,4,Jazz
54h1RKrrFJDsNOfhwmqu9o,Glenn Miller,The Glenn Miller Carnegie Hall Concert (Live),In the Mood - Live,59,209573,False,0.463,0.654,8,-9.72,1,0.0659,0.824,0.917,0.372,0.592,175.204,4,Jazz
1cpANF6zMBoFoxkoIjZHjv,"Bill Evans, Jim Hall",Undercurrent,Skating In Central Park,56,324200,False,0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308,3,Jazz
4vLYewWIvqHfKtJDk8c8tq,"Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",Kind Of Blue (Legacy Edition),"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",59,562640,False,0.532,0.151,0,-17.266,1,0.0376,0.706,0.00136,0.116,0.211,136.759,4,Jazz
